Company,JobClosed,ClosedDate,JobComplete,JobCompletionDate,JobEngineered,CheckOff1,CheckOff2,CheckOff3,CheckOff4,CheckOff5,JobReleased,JobHeld,SchedStatus,JobNum,PartNum,RevisionNum,DrawNum,PartDescription,ProdQty,IUM,StartDate,StartHour,DueDate,DueHour,ReqDueDate,JobCode,QuoteNum,QuoteLine,ProdCode,UserChar1,UserChar2,UserChar3,UserChar4,UserDate1,UserDate2,UserDate3,UserDate4,UserDecimal1,UserDecimal2,UserInteger1,UserInteger2,CommentText,ExpenseCode,InCopyList,WIName,WIStartDate,WIStartHour,WIDueDate,WIDueHour,Candidate,SchedCode,SchedLocked,ProjectID,WIPCleared,JobFirm,PersonList,PersonID,ProdTeamID,QtyCompleted,Plant,DatePurged,TravelerReadyToPrint,TravelerLastPrinted,StatusReadyToPrint,StatusLastPrinted,CallNum,CallLine,JobType,RestoreFlag,PhaseID,AnalysisCode,LockQty,HDCaseNum,ProcessMode,PlannedActionDate,PlannedKitDate,MSPTaskID,MSPPredecessor,UserMapData,ProductionYield,OrigProdQty,PreserveOrigQtys,NoAutoCompletion,NoAutoClosing,CreatedBy,CreateDate,WhseAllocFlag,OwnershipStatus,PDMObjID,ExportRequested,SplitMfgCostElements,XRefPartNum,XRefPartType,XRefCustNum,BasePartNum,BaseRevisionNum,RoughCutScheduled,EquipID,PlanNum,MaintPriority,SplitJob,NumberSource,CloseMeterReading,IssueTopicID1,IssueTopicID2,IssueTopicID3,IssueTopicID4,IssueTopicID5,IssueTopicID6,IssueTopicID7,IssueTopicID8,IssueTopicID9,IssueTopicID10,IssueTopics,ResTopicID1,ResTopicID2,ResTopicID3,ResTopicID4,ResTopicID5,ResTopicID6,ResTopicID7,ResTopicID8,ResTopicID9,ResTopicID10,ResTopics,Forward,SchedSeq,PAAExists,DtlsWithinLeadTime,GroupSeq,RoughCut,PlanGUID,PlanUserID,LastChangedBy,LastChangedOn,EPMExportLevel,JobWorkflowState,JobCSR,ExternalMES,SysRowID,LastExternalMESDate,LastScheduleDate,LastScheduleProc,SchedPriority,DaysLate,ContractID,ProjProcessed,SyncReqBy,CustName,CustID,IsCSRSet,UnReadyCostProcess,ProcSuspendedUpdates,ProjProcessedDate,PCLinkRemoved,ForeignSysRowID,ssePart_c,EngineerCode_c,EngineeringApproval_c,EngineeringReview_c,QtyMinimum_c,Customer_c,QualityApproval_c,InitialReview_c
SMC,1,2017-08-29,1,2017-06-29,1,0,0,0,0,0,1,1,1,021088-1,1359M80P01,ONO,,"Guide, Stage  2 Vane-Low Pressure Turbine",1050,EA,2017-06-14,12.5,2017-06-23,0,2017-06-23,,0,0,MISC,,,,,,,,,0,0,0,0,"SPLIT 1,050 PCS FROM J021088 AFTER OP #10  JD 06/23/17",,0,,2017-06-14,12.5,2017-06-23,0,1,NORMAL,0,,1,1,,,,1050,MfgSys,,0,2017-06-23,0,,0,0,MFG,,,,0,0,S,2017-06-21,2017-06-23,,,,1,1050,0,0,0,JDillon,2017-06-23,0,,,,1,,,0,,,0,,0,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,,,,,0,,,0,1D78721D-59B1-40EB-9354-008A8FAE9EAF,,,,0,0,,0,0,,,0,0,,,0,1D78721D-59B1-40EB-9354-008A8FAE9EAF,0,,0,0,0,,0,0
HEM,0,,0,,1,0,0,0,0,0,0,1,R,83976,715788-2,D,,"Retainer, Spring",200,EA,2018-06-06,18.12,2018-09-28,0,2018-09-28,,0,0,RETAINER,,,,,,,,,0,0,0,0,,,1,,2018-06-06,18.12,2018-09-28,0,0,NORMAL,0,,0,1,RPaul,RPaul,,0,MfgSys,,0,,0,,0,0,MFG,,,,1,0,S,2018-06-06,2018-06-06,,,,1,36,0,0,0,Ejorge,2018-04-23,0,,,,1,,,0,,,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,10300,1,0,0,1,,,,,0,,,0,E729C03A-1CE1-4B6A-BD0F-0093CA61C91F,,,,-999270,3,,0,0,,,0,0,,,0,E729C03A-1CE1-4B6A-BD0F-0093CA61C91F,0,,1,1,175,NORD,1,1
HEM,0,,0,,1,0,0,0,0,0,1,1,R,80818,7100594-2,N/C,,"Rod, Tie",100,EA,2018-02-15,6,2018-07-20,10.67,2018-04-09,,0,0,ROD,,,,,,,,,0,0,0,0,,,1,,2018-02-15,6,2018-07-20,10.67,0,NORMAL,0,,0,1,RPaul,RPaul,,0,MfgSys,,0,2018-02-08,0,,0,0,MFG,,,,1,0,S,2018-03-05,2018-03-05,,,,1,2,0,0,0,Ejorge,2017-11-27,0,,,,1,,,0,,,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,3240,1,0,0,0,,,,,0,,,0,D2005370-6FFF-4AE5-80F8-009BACFC5832,,,,-1011510,-48,,0,0,,,0,0,,,0,D2005370-6FFF-4AE5-80F8-009BACFC5832,0,,1,1,90,UTAS,1,1
SMC,1,2017-10-31,1,2017-10-17,1,0,0,0,0,0,1,1,R,021365,4104T00P01,ONO,,Bushing,120,EA,2017-09-01,13.83,2017-09-14,8,2017-08-28,,0,0,BUSHING,,,,,,,,,0,0,0,0,,,0,,2017-09-01,13.83,2017-09-14,8,1,NORMAL,0,,1,1,,,,80,MfgSys,,0,2017-10-02,0,,0,0,MFG,,,,0,0,S,2017-08-30,2017-09-01,,,,1,40,0,0,0,JIppolito,2017-08-28,0,,,,1,,,0,,,0,,0,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,,,,,0,,,0,800651FF-C454-4984-BC0D-00A5B870AA95,,,,0,0,,0,0,,,0,0,,,0,800651FF-C454-4984-BC0D-00A5B870AA95,0,,1,1,0,,0,0
SMC,0,,0,,1,0,0,0,0,0,0,1,R,MRP00000000290,9539M50P01,ONO,,Bushing,126,EA,2018-10-11,6.17,2018-10-31,14,2018-11-01,,0,0,BUSHING,,,,,,,,,0,0,0,0,,,0,,2018-10-11,6.17,2018-10-31,14,0,NORMAL,0,,0,0,,,,0,MfgSys,,0,,0,,0,0,MFG,,,,0,0,S,2018-10-09,2018-10-11,,,,1,126,0,0,0,Ejorge,2018-06-02,0,,,,1,,,0,,,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,,,,,0,,,0,A9720741-940E-4395-A5D9-00A9E6477353,,,,0,0,,0,0,,,0,0,,,0,A9720741-940E-4395-A5D9-00A9E6477353,0,,0,0,0,,0,0
SMC,0,,0,,1,0,0,0,0,0,1,1,R,021851,1846M85P01,A,,"Bushing, Flanged",40,EA,2018-02-14,6,2018-10-23,11,2018-06-10,,0,0,BUSHING,,,,,,,,,0,0,0,0,,,1,,2018-02-14,6,2018-10-23,11,0,NORMAL,0,,0,1,,,,0,MfgSys,,0,2018-05-10,0,,0,0,MFG,,,,1,0,S,2018-02-12,2018-02-14,,,,1,50,0,0,0,Ejorge,2018-02-08,0,,,,1,,,0,,,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,140,0,0,0,1,,,,,0,,,0,180F8A9C-E172-452A-8811-00AD28AE6C32,,,,-1034070,-142,,0,1,,,0,0,,,0,180F8A9C-E172-452A-8811-00AD28AE6C32,0,,1,1,0,,1,1
SMC,0,,0,,1,0,0,0,0,0,0,1,R,MRP00000000371,9339M23P01,A,,"Coupling, Reducer",35,EA,2018-08-10,11.65,2018-09-12,14,2018-09-13,,0,0,MISC,,,,,,,,,0,0,0,0,,,0,,2018-08-10,11.65,2018-09-12,14,0,NORMAL,0,,0,0,,,,0,MfgSys,,0,,0,,0,0,MFG,,,,0,0,S,2018-08-08,2018-08-10,,,,1,35,0,0,0,Ejorge,2018-06-02,0,,,,1,,,0,,,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,,,,,0,,,0,0E1C22AD-0D8C-4770-8E88-00B1385AD6D4,,,,0,0,,0,0,,,0,0,,,0,0E1C22AD-0D8C-4770-8E88-00B1385AD6D4,0,,0,0,0,,0,0
SMC,1,2017-02-22,1,2017-02-22,1,0,0,0,0,0,1,1,R,020659,2072M42P01,B,,Clevis- By Pass Value,280,EA,2016-10-07,13.74,2016-11-09,14,2016-11-10,,0,0,MISC,,,,,,,,,0,0,0,0,,,0,,2016-10-07,13.74,2016-11-09,14,1,NORMAL,0,,1,1,,,,273,MfgSys,,0,2016-12-07,0,,0,0,MFG,,,,0,0,S,2016-10-05,2016-10-07,,,,1,280,0,0,0,sbevets1,2016-10-21,0,,,,1,,,0,,,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,,,,,0,,,0,73814319-A915-44F1-9432-00B53CE6E93B,,,,0,0,,0,0,,,0,0,,,0,73814319-A915-44F1-9432-00B53CE6E93B,0,,0,0,0,,0,0
HEM,1,2018-02-21,1,2018-02-20,1,0,0,0,0,0,1,0,1,81725,11844,B,,Bolt,177,EA,2018-02-16,21.82,2018-02-22,0,2018-02-22,,0,0,BOLT,,,,,,,,,0,0,0,0,,,1,,2018-02-16,21.82,2018-02-22,0,1,NORMAL,0,,1,1,,,,173,MfgSys,,0,2018-02-02,0,,0,0,MFG,,,,0,0,S,2018-02-16,2018-02-16,,,,1,177,0,0,0,TLentini,2018-02-02,0,,,,1,,,0,,,0,,0,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,,,,,0,,,0,3D8FCCA8-A852-4A4E-9CBF-00B8B62DE957,,,,0,0,,0,0,,,0,0,,,0,3D8FCCA8-A852-4A4E-9CBF-00B8B62DE957,0,,1,1,177,NERJAN,1,1
HEM,0,,0,,1,0,0,0,0,0,1,1,R,83847,AMS4088_0.6200GDX0.1250W,K,,AMS 4088 0.6200 GD x 0.1250 W (2024-T3),384,FT,2018-05-29,6,2018-06-11,9,2018-04-19,,0,0,,,,,,,,,,0,0,0,0,,,1,,2018-05-29,6,2018-06-11,9,0,NORMAL,0,,0,1,RPaul,RPaul,,0,MfgSys,,0,2018-04-26,0,,0,0,MFG,,,,1,0,S,2018-05-29,2018-05-29,,,,1,500,0,0,0,Ejorge,2018-04-13,0,,,,1,,,0,,,0,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,6540,1,0,0,0,,,,,0,,,0,C865F375-2945-4993-A842-00C224C317EE,,,,-1003830,-16,,0,0,,,0,0,,,0,C865F375-2945-4993-A842-00C224C317EE,0,,1,1,384,,1,1
