Company,JobComplete,IssuedComplete,JobNum,AssemblySeq,MtlSeq,PartNum,Description,QtyPer,RequiredQty,IUM,LeadTime,RelatedOperation,MtlBurRate,EstMtlBurUnitCost,EstUnitCost,IssuedQty,TotalCost,MtlBurCost,ReqDate,WarehouseCode,SalvagePartNum,SalvageDescription,SalvageQtyPer,SalvageUM,SalvageMtlBurRate,SalvageUnitCredit,SalvageEstMtlBurUnitCredit,SalvageQtyToDate,SalvageCredit,SalvageMtlBurCredit,MfgComment,VendorNum,PurPoint,BuyIt,Ordered,PurComment,BackFlush,EstScrap,EstScrapType,FixedQty,FindNum,RevisionNum,SndAlrtCmpl,RcvInspectionReq,Plant,Direct,MaterialMtlCost,MaterialLabCost,MaterialSubCost,MaterialBurCost,SalvageMtlCredit,SalvageLbrCredit,SalvageBurCredit,SalvageSubCredit,APSAddResType,CallNum,CallLine,ProdCode,UnitPrice,BillableUnitPrice,DocBillableUnitPrice,ResReasonCode,PricePerCode,Billable,ShippedQty,DocUnitPrice,QtyStagedToDate,AddedMtl,MiscCharge,MiscCode,SCMiscCode,RFQNeeded,RFQVendQuotes,RFQNum,RFQLine,RFQStat,AnalysisCode,GlbRFQ,WhseAllocFlag,WIReqDate,Rpt1BillableUnitPrice,Rpt2BillableUnitPrice,Rpt3BillableUnitPrice,Rpt1UnitPrice,Rpt2UnitPrice,Rpt3UnitPrice,BaseRequiredQty,BaseUOM,Weight,WeightUOM,ReqRefDes,BasePartNum,BaseRevisionNum,SelectForPicking,StagingWarehouseCode,StagingBinNum,PickError,EstMtlUnitCost,EstLbrUnitCost,EstBurUnitCost,EstSubUnitCost,SalvageEstMtlUnitCredit,SalvageEstLbrUnitCredit,SalvageEstBurUnitCredit,SalvageEstSubUnitCredit,LoanedQty,BorrowedQty,ReassignSNAsm,GeneralPlanInfo,EstStdDescription,PricingUOM,RemovedFromPlan,IsPOCostingMaintained,EstStdType,POCostingFactor,PlannedQtyPerUnit,POCostingDirection,POCostingUnitVal,GroupSeq,SysRowID,OrigStructTag,OrigGroupSeq,ShowStatusIcon,ContractID,LinkToContract,StagingLotNum,PCLinkRemoved
HEM,0,0,83123,0,10,7048-NITRILE_0.020_BLACK,Trelleborg #7048 Antiwicking Nylon Sheet,0.00072,0.144,YDS,0,50,0,0,58.06,0,0,0,2018-06-22,PUR,,,0,,0,0,0,0,0,0,,0,,0,0,,0,0,%,0,,,0,0,MfgSys,0,0,0,0,0,0,0,0,0,M,0,0,,0,0,0,,E,0,0,0,0,0,0,,,0,0,0,0,,,0,0,2018-06-22,0,0,0,0,0,0,0.144,YDS,0,LBS,0,,,0,,,,58.06,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0E14C741-8C0B-4BE3-9335-C0BA26AFDF39,,0,,,0,,0
HEM,1,1,83124,0,10,AMS4117_0.6875RD,AMS 4117 0.6875 RD (6061-T651),1,108,FT,0,10,0,0,1.26585,108,136.71,0,2018-04-30,PUR,,,0,,0,0,0,0,0,0,,0,,0,0,,0,0,%,0,,K,0,0,MfgSys,0,136.71,0,0,0,0,0,0,0,M,0,0,,0,0,0,,E,0,0,0,108,0,0,,,0,0,0,0,,,0,0,2018-04-30,0,0,0,0,0,0,108,FT,0,LBS,1,,,0,,,,1.26585,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,CE6B4DA4-FF61-4761-924B-E2E9E4A7D549,,0,,,0,,0
HEM,0,0,83125,0,10,NAS1193E6C,Locking Device,4,96,EA,0,10,0,0,4.4154,0,0,0,2018-06-11,FGI,,,0,,0,0,0,0,0,0,"No BOM Needed, Vendor Supplied Material.
Nas1193e6c Can Be Used As An Alternative For M81935/3-6c",0,,0,0,,0,0,%,0,,10,0,0,MfgSys,0,0,0,0,0,0,0,0,0,M,0,0,,0,0,0,,E,0,0,0,0,0,0,,,0,0,0,0,,,0,0,2018-06-11,0,0,0,0,0,0,96,EA,0,LBS,0,,,0,,,,0,0,0,4.4154,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,A60BDE83-A349-4390-B8F3-288B0EF6D929,,0,,,0,,0
HEM,0,0,83125,0,20,NAS1423C6,"RH Nut, Plain, Hex, Drilled",2,48,EA,0,10,0,0,3.95,0,0,0,2018-06-11,FGI,,,0,,0,0,0,0,0,0,"No BOM Requried, Vendor Supplied Material.
",0,,0,0,,0,0,%,0,,4,0,0,MfgSys,0,0,0,0,0,0,0,0,0,M,0,0,,0,0,0,,E,0,0,0,0,0,0,,,0,0,0,0,,,0,0,2018-06-11,0,0,0,0,0,0,48,EA,0,LBS,0,,,0,,,,0,0,0,3.95,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,FD6CED75-08F9-46F7-951A-8230BC23D0AC,,0,,,0,,0
HEM,0,0,83125,0,30,NAS1423C6LH,"LH Nut, Plain, Hex, Drilled",2,48,EA,0,10,0,0,4.25,0,0,0,2018-06-11,FGI,,,0,,0,0,0,0,0,0,"No BOM Requried, Vendor Supplied Material.
",0,,0,0,,0,0,%,0,,4,0,0,MfgSys,0,0,0,0,0,0,0,0,0,M,0,0,,0,0,0,,E,0,0,0,0,0,0,,,0,0,0,0,,,0,0,2018-06-11,0,0,0,0,0,0,48,EA,0,LBS,0,,,0,,,,0,0,0,4.25,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,B1188C37-BC90-4EA7-82EF-D40352BA643F,,0,,,0,,0
HEM,0,0,83125,0,40,7002803-1,"Stud, Threaded",1,24,EA,0,10,0,0,32.13853,0,0,0,2018-06-11,FGI,,,0,,0,0,0,0,0,0,,0,,0,0,,0,0,%,0,,N/C,0,0,MfgSys,0,0,0,0,0,0,0,0,0,M,0,0,,0,0,0,,E,0,0,0,0,0,0,,,0,0,0,0,,,0,0,2018-06-11,0,0,0,0,0,0,24,EA,0,LBS,0,,,0,,,,1.93264,5.4494,7.49112,17.26537,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,8B64F354-2A47-4824-8352-8BF073EA5899,,0,,,0,,0
HEM,0,0,83125,0,50,7002569-4,"Body, Tie Rod",2,48,EA,0,10,0,0,59.75414,0,0,0,2018-06-11,FGI,,,0,,0,0,0,0,0,0,,0,,0,0,,0,0,%,0,,D,0,0,MfgSys,0,0,0,0,0,0,0,0,0,M,0,0,,0,0,0,,E,0,0,0,0,0,0,,,0,0,0,0,,,0,0,2018-06-11,0,0,0,0,0,0,48,EA,0,LBS,0,,,0,,,,1.01268,23.43904,29.80242,5.5,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,962958AC-6A53-4897-B74D-4F877484C657,,0,,,0,,0
HEM,0,0,83125,0,60,M81935/6-06K,"Bearing, Plain, Rod End",1,24,EA,0,10,0,0,97.15,0,0,0,2018-06-11,FGI,,,0,,0,0,0,0,0,0,"No B.o.m. Needed, Vendor Supplied Material.
",0,,0,0,,0,0,%,0,,A,0,0,MfgSys,0,0,0,0,0,0,0,0,0,M,0,0,,0,0,0,,E,0,0,0,0,0,0,,,0,0,0,0,,,0,0,2018-06-11,0,0,0,0,0,0,24,EA,0,LBS,0,,,0,,,,0,0,0,97.15,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,6007DBC3-4CD6-4113-BA67-F79176292731,,0,,,0,,0
HEM,0,0,83125,0,70,M81935/6-06KL,"Bearing, Plain, Rod End Lh Thd",1,24,EA,0,10,0,0,97.15,0,0,0,2018-06-11,FGI,,,0,,0,0,0,0,0,0,"No B.o.m. Needed, Vendor Supplied Material.
",0,,0,0,,0,0,%,0,,A,0,0,MfgSys,0,0,0,0,0,0,0,0,0,M,0,0,,0,0,0,,E,0,0,0,0,0,0,,,0,0,0,0,,,0,0,2018-06-11,0,0,0,0,0,0,24,EA,0,LBS,0,,,0,,,,0,0,0,97.15,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,9ED37839-6186-4B15-B27E-5F631BD93A3F,,0,,,0,,0
HEM,0,1,83125,0,80,MIL-PRF-32014,"GREASE, AIRCRAFT & INSTRUMENT",0,0,EA,0,10,0,0,20,0,0,0,2018-06-11,PUR,,,0,,0,0,0,0,0,0,Quantity As Required,0,,0,0,,0,0,%,1,,A,0,0,MfgSys,0,0,0,0,0,0,0,0,0,M,0,0,,0,0,0,,E,0,0,0,0,0,0,,,0,0,0,0,,,0,0,2018-06-11,0,0,0,0,0,0,0,EA,0,LBS,0,,,0,,,,20,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,95591D14-7739-48C7-89B6-2D4EBB9C9B26,,0,,,0,,0
HEM,0,0,83126,0,10,AMS5640_0.1875RD,AMS 5640 0.1875 RD (303),0.11111,5,FT,0,10,0,0,0.2068,0,0,0,2018-09-27,PUR,,,0,,0,0,0,0,0,0,,0,,0,0,,0,0,%,0,,V,0,0,MfgSys,0,0,0,0,0,0,0,0,0,M,0,0,,0,0,0,,E,0,0,0,0,0,0,,,0,0,0,0,,,0,0,2018-09-27,0,0,0,0,0,0,5,FT,0,LBS,0,,,0,,,,0.2068,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,8F5ECF0C-8815-457F-AA85-FCD112E60CB0,,0,,,0,,0
HEM,0,0,83127,0,10,ASTM_A269_0.3125X0.0490W,"ASTM A269 TYPE 304 .3125 OD x .049 WALL, TUBING",0.1739,8.695,FT,0,10,0,0,2.4,0,0,0,2018-06-11,PUR,,,0,,0,0,0,0,0,0,,0,,0,0,,0,0,%,0,,15a,0,0,MfgSys,0,0,0,0,0,0,0,0,0,M,0,0,,0,0,0,,E,0,0,0,0,0,0,,,0,0,0,0,,,0,0,2018-06-11,0,0,0,0,0,0,8.695,FT,0,LBS,0,,,0,,,,2.4,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,1DCFFE11-DC2E-4C2C-9E66-C49112ABCD04,,0,,,0,,0
